gender,SeniorCitizen,Dependents,tenure,PhoneService,MultipleLines,InternetService,Contract,MonthlyCharges,Churn,TotalCharges
Female,0,No,1,No,No,DSL,Month-to-month,25,Yes,25
Male,0,No,41,Yes,No,DSL,One year,25,No,1025
Female,0,Yes,52,Yes,No,DSL,Month-to-month,19,No,988
Female,0,No,1,Yes,No,DSL,One year,76,Yes,76
Male,0,No,67,Yes,No,Fiber optic,Month-to-month,51,No,3417
Female,1,No,68,Yes,Yes,Fiber optic,Month-to-month,90,Yes,6120
Female,0,Yes,23,Yes,Yes,Fiber optic,Month-to-month,77,No,1771
Male,0,Yes,72,Yes,No,DSL,Month-to-month,72,No,5184
Male,0,No,70,Yes,Yes,Fiber optic,Month-to-month,104,Yes,7280
Male,0,No,1,Yes,No,DSL,One year,19,Yes,19
Male,0,No,1,Yes,No,DSL,Month-to-month,20,No,20
Male,0,Yes,34,Yes,No,DSL,Two year,84,No,2856
Male,1,Yes,28,Yes,Yes,Fiber optic,One year,51,No,1428
Female,1,No,18,Yes,Yes,Fiber optic,Month-to-month,85,Yes,1530
Female,0,No,15,Yes,No,Fiber optic,Month-to-month,20,No,300
Female,1,No,11,Yes,Yes,Fiber optic,Two year,95,Yes,1045
Male,0,No,11,Yes,No,DSL,One year,54,Yes,594
Male,0,Yes,1,Yes,Yes,Fiber optic,Two year,70,Yes,70
Female,0,Yes,37,Yes,No,DSL,Month-to-month,89,No,3293
Male,0,Yes,22,Yes,No,Fiber optic,Month-to-month,89,Yes,1958
Female,0,No,1,Yes,No,DSL,Month-to-month,70,No,70
Female,0,Yes,1,Yes,No,DSL,One year,19,No,19
Male,0,Yes,46,Yes,No,DSL,Month-to-month,80,No,3680
Female,0,No,51,Yes,Yes,DSL,Two year,107,No,5457
Female,0,No,41,Yes,No,DSL,Month-to-month,104,No,4264
Female,0,No,5,Yes,No,DSL,Month-to-month,68,Yes,340
Female,0,No,45,Yes,Yes,Fiber optic,Month-to-month,89,Yes,4005
Male,0,Yes,29,Yes,No,DSL,Month-to-month,60,No,1740
Female,1,No,15,Yes,Yes,DSL,Two year,92,No,1380
Male,0,No,72,No,No,DSL,Month-to-month,64,No,4608
Male,0,No,50,Yes,Yes,Fiber optic,Two year,104,No,5200
Male,0,Yes,27,Yes,No,Fiber optic,Month-to-month,21,No,567
Male,0,No,72,Yes,No,DSL,One year,85,No,6120
Female,0,Yes,51,Yes,No,DSL,Month-to-month,70,No,3570
Female,0,No,60,Yes,No,DSL,Month-to-month,94,No,5640
Male,0,No,17,Yes,Yes,Fiber optic,Two year,19,No,323
Female,0,No,72,Yes,No,Fiber optic,Month-to-month,21,No,1512
Female,0,No,33,Yes,No,Fiber optic,Month-to-month,104,Yes,3432
Female,1,Yes,66,Yes,Yes,Fiber optic,Month-to-month,105,No,6930
Female,0,Yes,69,Yes,Yes,Fiber optic,Month-to-month,104,Yes,7176
Male,0,No,5,Yes,No,DSL,One year,70,Yes,350
Female,0,No,57,Yes,Yes,DSL,Two year,101,No,5757
Female,1,No,8,Yes,No,DSL,One year,76,Yes,608
Female,0,No,14,Yes,Yes,DSL,Two year,51,No,714
Male,0,No,25,Yes,Yes,DSL,Month-to-month,95,Yes,2375
Female,0,Yes,52,Yes,Yes,Fiber optic,Month-to-month,20,No,1040
Female,1,No,7,Yes,No,DSL,Month-to-month,76,Yes,532
Male,0,No,13,Yes,No,Fiber optic,Month-to-month,80,Yes,1040
Female,1,No,15,Yes,Yes,DSL,Two year,90,Yes,1350
Male,0,No,22,Yes,Yes,DSL,Two year,55,Yes,1210
Female,0,No,19,Yes,Yes,Fiber optic,Month-to-month,20,No,380
Male,0,Yes,23,No,No,Fiber optic,Month-to-month,30,No,690
Female,0,No,72,Yes,Yes,DSL,Month-to-month,114,No,8208
Male,1,No,72,Yes,Yes,Fiber optic,Month-to-month,98,No,7056
Female,0,Yes,59,Yes,No,DSL,One year,97,No,5723
Female,0,Yes,70,Yes,Yes,Fiber optic,Month-to-month,75,No,5250
Male,0,Yes,70,Yes,Yes,Fiber optic,One year,101,No,7070
Male,0,Yes,9,Yes,Yes,Fiber optic,One year,103,No,927
Female,0,No,3,Yes,Yes,DSL,Two year,25,No,75
Male,1,No,17,Yes,Yes,Fiber optic,Two year,102,No,1734
Female,0,Yes,28,Yes,Yes,Fiber optic,Month-to-month,70,No,1960
Female,0,No,10,Yes,Yes,Fiber optic,Month-to-month,54,No,540
Male,0,Yes,11,Yes,No,DSL,Two year,21,No,231
Male,1,No,72,Yes,No,DSL,One year,103,No,7416
Male,0,No,8,Yes,Yes,Fiber optic,Month-to-month,70,Yes,560
Male,1,No,69,Yes,No,DSL,Month-to-month,20,No,1380
Female,0,Yes,39,Yes,Yes,Fiber optic,One year,20,No,780
Male,0,Yes,67,No,No,DSL,Two year,51,No,3417
Male,0,No,39,Yes,No,DSL,Two year,20,No,780
Male,0,Yes,54,Yes,No,Fiber optic,Month-to-month,66,No,3564
Female,0,No,1,Yes,No,DSL,Month-to-month,74,Yes,74
Female,0,Yes,72,No,No,DSL,One year,60,No,4320
Male,0,No,10,Yes,Yes,Fiber optic,Two year,99,Yes,990
Male,0,Yes,13,Yes,Yes,DSL,Two year,97,Yes,1261
Female,0,No,35,Yes,No,DSL,Month-to-month,99,No,3465
Male,0,Yes,12,No,Yes,Fiber optic,One year,36,No,432
Male,0,No,31,Yes,No,DSL,One year,91,No,2821
Female,0,Yes,53,Yes,No,DSL,Month-to-month,108,No,5724
Male,0,No,30,Yes,Yes,DSL,One year,20,No,600
Female,0,No,46,Yes,No,Fiber optic,Month-to-month,75,No,3450
Female,0,No,19,Yes,No,DSL,Month-to-month,90,Yes,1710
Female,0,No,23,Yes,No,Fiber optic,Month-to-month,54,No,1242
Female,1,No,15,Yes,No,Fiber optic,Month-to-month,55,Yes,825
Male,0,No,48,Yes,No,DSL,Two year,20,No,960
Male,0,Yes,25,Yes,Yes,Fiber optic,Month-to-month,96,Yes,2400
Male,0,No,52,Yes,No,DSL,One year,105,Yes,5460
Male,0,No,12,Yes,No,DSL,Two year,82,Yes,984
Female,0,No,48,Yes,No,DSL,Two year,25,No,1200
Female,0,No,38,Yes,No,DSL,Month-to-month,20,No,760
Female,0,No,18,No,No,Fiber optic,Month-to-month,35,No,630
Female,0,No,45,Yes,No,Fiber optic,Month-to-month,50,No,2250
Male,0,No,12,Yes,Yes,DSL,Two year,90,No,1080
Female,1,No,66,Yes,Yes,Fiber optic,Month-to-month,102,No,6732
Female,0,No,72,Yes,Yes,Fiber optic,Two year,20,No,1440
Female,0,No,70,No,Yes,Fiber optic,Month-to-month,45,No,3150
Female,0,No,27,Yes,Yes,DSL,One year,90,No,2430
Male,1,No,13,Yes,No,DSL,Two year,95,Yes,1235
Female,0,Yes,65,Yes,No,Fiber optic,Month-to-month,90,No,5850
Female,0,Yes,14,Yes,No,DSL,Month-to-month,70,No,980
Female,0,Yes,17,Yes,No,DSL,Month-to-month,85,Yes,1445
Female,0,No,31,Yes,Yes,Fiber optic,One year,21,No,651
Male,0,Yes,24,Yes,No,DSL,One year,24,No,576
Female,0,No,3,Yes,Yes,Fiber optic,Two year,20,No,60
Male,0,No,17,Yes,No,DSL,Month-to-month,77,Yes,1309
Male,0,No,66,Yes,Yes,Fiber optic,One year,69,No,4554
Male,0,No,45,Yes,No,DSL,One year,53,No,2385
Male,0,No,35,Yes,Yes,Fiber optic,One year,92,No,3220
Male,0,Yes,40,No,No,DSL,Two year,40,No,1600
Female,0,No,10,Yes,Yes,Fiber optic,Month-to-month,85,Yes,850
Female,0,No,52,Yes,No,DSL,One year,64,No,3328
Female,0,No,13,Yes,No,Fiber optic,Month-to-month,19,No,247
Female,1,No,43,Yes,Yes,Fiber optic,Month-to-month,90,No,3870
Female,0,No,41,Yes,No,DSL,Two year,20,No,820
