gender,SeniorCitizen,Dependents,tenure,PhoneService,MultipleLines,InternetService,Contract,MonthlyCharges,Churn,TotalCharges
0,0,0,-1.3128745474320966,0,0,0,0,-1.3762278735972184,1,-1.0229662420240424
1,0,0,0.33103835840880097,1,0,0,1,-1.3762278735972184,0,-0.5800660029321772
0,0,1,0.7831144075150479,1,0,0,0,-1.5783988003368403,0,-0.5964533117785763
0,0,0,-1.3128745474320966,1,0,0,1,0.3422250036895663,1,-1.0003783298303572
1,0,0,1.3995817472053844,1,0,1,0,-0.5001538577255242,0,0.4793513689755642
0,1,0,1.440679569851407,1,1,1,0,0.8139571660820171,1,1.6765107152408758
0,0,1,-0.408722449219603,1,1,1,0,0.3759201581461699,0,-0.24966242456964588
1,0,1,1.6050708604354966,1,0,0,0,0.2074443858631518,0,1.26195609145089
1,0,0,1.522875215143452,1,1,1,0,1.2856893284744677,1,2.1902749925874394
1,0,0,-1.3128745474320966,1,0,0,1,-1.5783988003368403,1,-1.0256236434585937
1,0,0,-1.3128745474320966,1,0,0,0,-1.5447036458802366,0,-1.0251807432195017
1,0,1,0.04335359988664389,1,0,0,2,0.6117862393423953,0,0.23088433484502785
1,1,1,-0.20323333598949075,1,1,1,1,-0.5001538577255242,0,-0.4015772065781556
0,1,0,-0.6142115624497152,1,1,1,0,0.6454813937989989,1,-0.3564013821907854
0,0,0,-0.7375050303877825,1,0,1,0,-1.5447036458802366,0,-0.9011686762737795
0,1,0,-0.9018963209718723,1,1,1,2,0.9824329383650352,1,-0.57120799815034
1,0,0,-0.9018963209718723,1,0,0,1,-0.3990683943557134,1,-0.7709560059807712
1,0,1,-1.3128745474320966,1,1,1,2,0.14005407694994457,1,-1.0030357312649085
0,0,1,0.16664706782471123,1,0,0,0,0.7802620116254134,0,0.4244317393281729
1,0,1,-0.4498202718656254,1,0,1,0,0.7802620116254134,1,-0.16684007985946708
0,0,0,-1.3128745474320966,1,0,0,0,0.14005407694994457,0,-1.0030357312649085
0,0,1,-1.3128745474320966,1,0,0,1,-1.5783988003368403,0,-1.0256236434585937
1,0,1,0.5365274716389132,1,0,0,0,0.4770056215159808,0,0.5958341318567247
0,0,0,0.7420165848690254,1,1,0,2,1.3867747918442785,0,1.382867856722969
0,0,0,0.33103835840880097,1,0,0,0,1.2856893284744677,0,0.854487871486374
0,0,0,-1.148483256848007,1,0,0,0,0.07266376803673733,1,-0.8834526667101049
0,0,0,0.49542964899289077,1,1,1,0,0.7802620116254134,1,0.7397767095615809
1,0,1,-0.16213551334346832,1,0,0,0,-0.19689746761609167,0,-0.2633923319814937
0,1,0,-0.7375050303877825,1,1,0,2,0.8813474749952243,0,-0.4228364180545651
1,0,0,1.6050708604354966,0,0,0,0,-0.06211684978967717,0,1.0068455537339756
1,0,0,0.700918762223003,1,1,1,2,1.2856893284744677,0,1.2690424952763597
1,0,1,-0.24433115863551322,1,0,1,0,-1.511008491423633,0,-0.7829143124362515
